ATP5J2-PTCD1	G3V325
MRPS5	P82675
MRPS11	P82912
MRPS15	P82914
MRPS21	P82921
MRPS34	P82930
MRPS6	P82932
MRPS9	P82933
SARNP	P82979
LACTB	P83111
COG7	P83436
TXNL4A	P83876
ARF1	P84077
ARF5	P84085
ERH	P84090
SERF2	P84101
SRSF3	P84103
ZBED6	P86452
DGCR2	P98153
ZXDA	P98168
ZXDB	P98169
XIAP	P98170
FAM3A	P98173
RBM10	P98175
ATP2C1	P98194
TFAM	Q00059
PITPNA	Q00169
SLC25A3	Q00325
HDLBP	Q00341
GTF2B	Q00403
CDK16	Q00536
PURA	Q00577
CLTC	Q00610
FKBP3	Q00688
REEP5	Q00765
HNRNPU	Q00839
U2AF1	Q01081
TIAL1	Q01085
SET	Q01105
SRSF2	Q01130
FOXK2	Q01167
GALK2	Q01415
DR1	Q01658
EXOSC10	Q01780
XPC	Q01831
EWSR1	Q01844
MEF2A	Q02078
MAP2K1	Q02750
PLOD1	Q02809
NUCB1	Q02818
RPL6	Q02878
TOP2B	Q02880
SLC25A11	Q02978
GSTM4	Q03013
MLLT1	Q03111
PPARD	Q03181
CEBPZ	Q03701
RELA	Q04206
EIF4G1	Q04637
TLE1	Q04724
GLO1	Q04760
ACVR1	Q04771
SSBP1	Q04837
CD164	Q04900
CSTF1	Q05048
UBE3A	Q05086
ZNF91	Q05481
SRSF11	Q05519
FPGS	Q05932
ATP5G2	Q06055
PTPN11	Q06124
KDSR	Q06136
PSME1	Q06323
GABPB1	Q06547
RING1	Q06587
ZNF33A	Q06730
PRDX1	Q06830
C1QBP	Q07021
CKAP4	Q07065
PIGF	Q07326
KHDRBS1	Q07666
BCL2L1	Q07817
PPARA	Q07869
SRSF1	Q07955
AES	Q08117
SRSF4	Q08170
DHX9	Q08211
GOLGA3	Q08378
GOLGA2	Q08379
PPID	Q08752
SSRP1	Q08945
VAC14	Q08AM6
NSUN2	Q08J23
RBBP4	Q09028
TMEM62	Q0P6H9
ELP6	Q0PNE2
HSPA14	Q0VDF9
SCRN3	Q0VDG4
C17orf70	Q0VG06
LAMTOR4	Q0VGL1
MGAT2	Q10469
GALNT2	Q10471
GALNT1	Q10472
AP1B1	Q10567
TEF	Q10587
PMPCA	Q10713
HMGXB3	Q12766
KIAA0195	Q12767
KIAA0196	Q12768
SCAP	Q12770
SREBF2	Q12772
GTF3C1	Q12789
TFCP2	Q12800
SMARCB1	Q12824
BPTF	Q12830
STX4	Q12846
GRSF1	Q12849
SFSWAP	Q12872
SF3A3	Q12874
TMEM115	Q12893
TRIM26	Q12899
AIMP1	Q12904
ILF2	Q12905
TRAP1	Q12931
DLG1	Q12959
TAF10	Q12962
MYO1E	Q12965
PPP1R8	Q12972
PTP4A2	Q12974
NPRL3	Q12980
BNIP1	Q12981
BNIP2	Q12982
NFX1	Q12986
TSPAN31	Q12999
ECH1	Q13011
ARHGAP5	Q13017
STRN3	Q13033
CDC16	Q13042
COASY	Q13057
MRPL28	Q13084
GPS1	Q13098
ZBTB17	Q13105
USP4	Q13107
REST	Q13127
PRKAA1	Q13131
PPFIA1	Q13136
CALCOCO2	Q13137
EIF2B5	Q13144
TARDBP	Q13148
HNRNPA0	Q13151
FADD	Q13158
MAP2K5	Q13163
PAK2	Q13177
CBX3	Q13185
STX5	Q13190
PSMD2	Q13200
DDX10	Q13206
DNAJC3	Q13217
GPS2	Q13227
NME3	Q13232
TRIM28	Q13263
G3BP1	Q13283
EIF3I	Q13347
PPP2R5C	Q13362
CTBP1	Q13363
UBE2V1	Q13404
MRPL49	Q13405
PPIG	Q13427
SF3B2	Q13435
OS9	Q13438
PDAP1	Q13442
TMED1	Q13445
SMAD4	Q13485
BIRC2	Q13490
PICALM	Q13492
MTM1	Q13496
MED21	Q13503
PRPF4B	Q13523
PIN1	Q13526
SERINC3	Q13530
RIPK1	Q13546
DCTN2	Q13561
NAE1	Q13564
ITPK1	Q13572
SNW1	Q13573
STIM1	Q13586
TRA2A	Q13595
KRR1	Q13601
PEX6	Q13608
PWP1	Q13610
MTMR1	Q13613
MTMR3	Q13615
CUL1	Q13616
CUL2	Q13617
CUL4A	Q13619
CUL4B	Q13620
TSTA3	Q13630
AAMP	Q13685
ALKBH1	Q13686
MOGS	Q13724
NACA	Q13765
THOC5	Q13769
ARFRP1	Q13795
GNL2	Q13823
AUH	Q13825
TNFAIP1	Q13829
DDX39B	Q13838
BLMH	Q13867
EXOSC2	Q13868
KLF9	Q13886
RAPGEF1	Q13905
IDI1	Q13907
NFYC	Q13952
CDK13	Q14004
HNRNPD	Q14103
SCARB2	Q14108
DAG1	Q14118
UBE4A	Q14139
SERTAD2	Q14140
EIF3A	Q14152
KIAA0141	Q14154
EFR3A	Q14156
UBAP2L	Q14157
SCRIB	Q14160
MLEC	Q14165
TFDP1	Q14186
ICT1	Q14197
TCEB3	Q14241
CTTN	Q14247
ENDOG	Q14249
FLOT2	Q14254
RCN2	Q14257
FASTK	Q14296
FKBP8	Q14318
FAM50A	Q14320
PIGH	Q14442
CAPRIN1	Q14444
BECN1	Q14457
RBM39	Q14498
PRPSAP1	Q14558
DHX8	Q14562
MXD4	Q14582
